lag,acf_value,pacf_value
0,1.0,1.0
1,0.3472262894157224,0.34722628941572237
2,0.25258063976077644,0.1501130933298473
3,0.19640857282710253,0.08113852249272532
4,0.189344891561692,0.08634518758322555
5,0.25985184027547586,0.16595546513110962
6,0.2211338760338816,0.07020551480798055
7,0.2029067072148807,0.056195912286199405
8,0.20340757669268247,0.06910960749613476
9,0.16840769717609497,0.02210408950377448
10,0.25141724021717615,0.13021185485366427
11,0.23333070339216086,0.06770746937459612
12,0.19806027119367445,0.023014416714900652
13,0.1492440989971764,-0.01837727739332558
14,0.12507936523168176,-0.010689653251306552
15,0.15996317090735412,0.02870692826920607
16,0.1332522421453999,-0.019757156336041925
17,0.14462381611813532,0.014923207439444554
18,0.09867398674820252,-0.039462798522621516
19,0.10380672882206148,0.004241976586871871
20,0.09135497494777009,-0.024690143336041345
21,0.10769040244923142,0.009020787174660774
22,0.12028929356796125,0.01747850602345096
23,0.10404430446474637,0.006718668692629012
24,0.07595636082952777,-0.011716849760935115
25,0.09676266285644171,0.02542514699445646
26,0.10363992000123133,0.029025154291096023
27,0.1579573460283855,0.07941998534199508
28,0.09914147845954283,-0.00984536161187838
29,0.07989634273997166,-0.005514834725597464
30,0.07465129060454292,0.003105222468766522
